月份,地市,小区ECI,基站ID,小区CI,场景,大数据平台场景,厂家,是否为高负荷待扩容小区,有效栅格数,存在重叠的小区ECI,重叠栅格数,栅格重叠百分比
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,12331265,115,26.68
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979420,25,23.36
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,70860674,105,28.77
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235166848,94,59.87
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979417,37,34.58
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,12375298,77,21.1
2018/4/1,XINXIANG,64014848,250058,0,大网,高层居民区,华为,是,122,63881472,64,52.46
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,235297152,219,60.5
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,63839232,127,35.08
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,63865858,39,24.84
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,63869190,63,26.14
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60848904,140,22.4
2018/4/1,XINXIANG,64014848,250058,0,大网,高层居民区,华为,是,122,63962368,35,28.69
2018/4/1,XINXIANG,67196034,262484,130,大网,低层居民区,华为,是,501,64044034,146,29.14
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,235235970,45,38.14
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979414,24,22.43
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,235282817,61,25.31
2018/4/1,XINXIANG,235320193,919219,129,大网,高层居民区,华为,是,322,70861186,121,37.58
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60838918,212,33.92
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60827397,45,42.06
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60831747,199,31.84
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63882754,72,32.43
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,235295362,84,23.2
2018/4/1,XINXIANG,193362562,755322,130,大网,低层居民区,华为,是,436,63950343,189,43.35
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,235166855,66,27.39
2018/4/1,XINXIANG,67204481,262517,129,大网,低层居民区,华为,是,332,70906240,80,24.1
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,64024850,32,20.38
2018/4/1,XINXIANG,63899136,249606,0,大网,低层居民区,华为,是,313,12340226,91,29.07
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,63847168,32,27.12
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63883521,88,39.64
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,67250561,31,28.97
