wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
3940,1.0,10043353744.0,,10043353744.0,10043353744.0,10043353744.0,10043353744.0,10043353744.0
3941,1.0,10045592481.0,,10045592481.0,10045592481.0,10045592481.0,10045592481.0,10045592481.0
3942,1.0,10043515116.0,,10043515116.0,10043515116.0,10043515116.0,10043515116.0,10043515116.0
3943,1.0,10045012725.0,,10045012725.0,10045012725.0,10045012725.0,10045012725.0,10045012725.0
3944,1.0,10045182362.0,,10045182362.0,10045182362.0,10045182362.0,10045182362.0,10045182362.0
3945,3.0,10045122540.0,389454.0508185786,10044674362.0,10044994473.5,10045314585.0,10045346629.0,10045378673.0
3946,1.0,10043363720.0,,10043363720.0,10043363720.0,10043363720.0,10043363720.0,10043363720.0
3947,1.0,10045315422.0,,10045315422.0,10045315422.0,10045315422.0,10045315422.0,10045315422.0
3948,3.0,10045270413.0,77979.52613987854,10045180370.0,10045247897.0,10045315424.0,10045315434.5,10045315445.0
3949,1.0,10045394039.0,,10045394039.0,10045394039.0,10045394039.0,10045394039.0,10045394039.0
3950,2.0,10044279138.5,1286205.3146681131,10043369654.0,10043824396.25,10044279138.5,10044733880.75,10045188623.0
3951,3.0,10045501944.666666,463.9033663742195,10045501409.0,10045501810.0,10045502211.0,10045502212.5,10045502214.0
3952,2.0,10044355040.5,1189341.5851404928,10043514049.0,10043934544.75,10044355040.5,10044775536.25,10045196032.0
3956,2.0,10045325827.0,138621.21338381077,10045227807.0,10045276817.0,10045325827.0,10045374837.0,10045423847.0
3957,5.0,10045326557.8,201883.11437983118,10045061881.0,10045214596.0,10045377767.0,10045377775.0,10045600770.0
3959,2.0,10044303608.5,1296951.9235285863,10043386525.0,10043845066.75,10044303608.5,10044762150.25,10045220692.0
3961,3.0,10044707398.333334,1036139.0408363799,10043514047.0,10044371917.0,10045229787.0,10045304074.0,10045378361.0
3963,2.0,10044385595.0,1404029.8105104463,10043392796.0,10043889195.5,10044385595.0,10044881994.5,10045378394.0
3964,2.0,10045378291.5,747.4118677141807,10045377763.0,10045378027.25,10045378291.5,10045378555.75,10045378820.0
3965,5.0,10045320303.6,130296.17171774464,10045087223.0,10045378358.0,10045378406.0,10045378683.0,10045378848.0
3966,2.0,10045315163.5,89871.15056846663,10045251615.0,10045283389.25,10045315163.5,10045346937.75,10045378712.0
3968,2.0,10044441330.5,1346282.5210112846,10043489365.0,10043965347.75,10044441330.5,10044917313.25,10045393296.0
3969,2.0,10044498046.5,1390087.7861057913,10043515106.0,10044006576.25,10044498046.5,10044989516.75,10045480987.0
3970,3.0,10044140801.0,1084709.931590469,10043514027.0,10043514543.5,10043515060.0,10044454188.0,10045393316.0
3971,1.0,10043407370.0,,10043407370.0,10043407370.0,10043407370.0,10043407370.0,10043407370.0
3975,5.0,10044080379.8,1721844.0673448625,10042194545.0,10042195645.0,10045287832.0,10045300037.0,10045423840.0
3976,1.0,10045423886.0,,10045423886.0,10045423886.0,10045423886.0,10045423886.0,10045423886.0
3978,1.0,10043416462.0,,10043416462.0,10043416462.0,10043416462.0,10043416462.0,10043416462.0
3979,2.0,10044325651.0,1147779.9698626911,10043514048.0,10043919849.5,10044325651.0,10044731452.5,10045137254.0
3980,2.0,10044472719.0,1486106.5230298936,10043421883.0,10043947301.0,10044472719.0,10044998137.0,10045523555.0
3982,3.0,10043015849.0,1422711.7294982846,10042194441.0,10042194446.0,10042194451.0,10043426553.0,10044658655.0
3983,4.0,10043144303.5,1194672.1318723112,10042194440.0,10042194497.0,10042854268.5,10043804075.0,10044674237.0
3984,2.0,10044405866.0,1296130.9725556287,10043489363.0,10043947614.5,10044405866.0,10044864117.5,10045322369.0
3985,3.0,10044961708.666666,506327.4304344308,10044664598.0,10044669393.5,10044674189.0,10045110264.0,10045546339.0
3986,4.0,10045373638.0,164360.8835357935,10045158727.0,10045288210.0,10045416787.5,10045502215.5,10045502250.0
3987,1.0,10045488656.0,,10045488656.0,10045488656.0,10045488656.0,10045488656.0,10045488656.0
3988,3.0,10044778012.666666,1096900.2744941462,10043514024.0,10044426874.0,10045339724.0,10045410007.0,10045480290.0
3989,2.0,10045423366.0,92377.84410777294,10045358045.0,10045390705.5,10045423366.0,10045456026.5,10045488687.0
3990,5.0,10045013441.4,892392.1980294315,10043435594.0,10045173255.0,10045481004.0,10045488672.0,10045488682.0
3991,1.0,10042475011.0,,10042475011.0,10042475011.0,10042475011.0,10042475011.0,10042475011.0
3992,1.0,10043514019.0,,10043514019.0,10043514019.0,10043514019.0,10043514019.0,10043514019.0
3993,5.0,10045060742.0,907497.1086584794,10043441213.0,10045357420.0,10045501433.0,10045501434.0,10045502210.0
3997,2.0,10044443573.0,1313118.5058668545,10043515058.0,10043979315.5,10044443573.0,10044907830.5,10045372088.0
3998,1.0,10045204090.0,,10045204090.0,10045204090.0,10045204090.0,10045204090.0,10045204090.0
3999,1.0,10045523575.0,,10045523575.0,10045523575.0,10045523575.0,10045523575.0,10045523575.0
4000,2.0,10044488622.5,1465059.489687876,10043452669.0,10043970645.75,10044488622.5,10045006599.25,10045524576.0
4001,1.0,10044671998.0,,10044671998.0,10044671998.0,10044671998.0,10044671998.0,10044671998.0
4002,2.0,10044453527.5,1327200.5374141845,10043515055.0,10043984291.25,10044453527.5,10044922763.75,10045392000.0
4003,1.0,10043457908.0,,10043457908.0,10043457908.0,10043457908.0,10043457908.0,10043457908.0
4004,2.0,10045545732.0,735.3910524340095,10045545212.0,10045545472.0,10045545732.0,10045545992.0,10045546252.0
4005,1.0,10045425132.0,,10045425132.0,10045425132.0,10045425132.0,10045425132.0,10045425132.0
4006,1.0,10045546383.0,,10045546383.0,10045546383.0,10045546383.0,10045546383.0,10045546383.0
4007,1.0,10043515056.0,,10043515056.0,10043515056.0,10043515056.0,10043515056.0,10043515056.0
4008,1.0,10045245604.0,,10045245604.0,10045245604.0,10045245604.0,10045245604.0,10045245604.0
4010,1.0,10043514014.0,,10043514014.0,10043514014.0,10043514014.0,10043514014.0,10043514014.0
4011,1.0,10045434056.0,,10045434056.0,10045434056.0,10045434056.0,10045434056.0,10045434056.0
4012,1.0,10043472965.0,,10043472965.0,10043472965.0,10043472965.0,10043472965.0,10043472965.0
4016,3.0,10043888060.0,677956.2369113511,10043479519.0,10043496768.5,10043514018.0,10044092330.5,10044670643.0
4018,2.0,10045896643.5,863465.7681764228,10045286081.0,10045591362.25,10045896643.5,10046201924.75,10046507206.0
4019,1.0,10045430988.0,,10045430988.0,10045430988.0,10045430988.0,10045430988.0,10045430988.0
4020,1.0,10045470781.0,,10045470781.0,10045470781.0,10045470781.0,10045470781.0,10045470781.0
4021,2.0,10044095124.5,821811.5219102857,10043514016.0,10043804570.25,10044095124.5,10044385678.75,10044676233.0
4022,3.0,10044823671.666666,1150718.177093042,10043494962.0,10044487948.5,10045480935.0,10045488026.5,10045495118.0
4025,1.0,10043502794.0,,10043502794.0,10043502794.0,10043502794.0,10043502794.0,10043502794.0
4026,1.0,10043515053.0,,10043515053.0,10043515053.0,10043515053.0,10043515053.0,10043515053.0
4028,4.0,10045356132.25,793245.1862555381,10044668490.0,10044669498.0,10045356251.5,10046042885.75,10046043536.0
